Round,Duration,Winner,Sets,Set1,Set2,Set3,Set4,Set5,Tiebreaks,Rank1,Aces1,Winners1,Errors1,Dist1,Rank2,Aces2,Winners2,Errors2,Dist2
2,117,2,3,0,2,4,-1,-1,1,-1,2,20,13,6.2,6,25,41,19,6.6
2,170,1,4,4,0,2,2,-1,1,9,22,62,22,7.1,-1,7,35,24,8
2,168,1,4,-2,2,3,5,-1,0,7,2,41,46,10.7,-1,7,25,27,11.6
1,141,2,4,2,2,-3,5,-1,0,-1,11,37,35,N/A,-1,5,28,20,N/A
2,138,1,4,-3,0,0,4,-1,2,-1,16,50,39,N/A,-1,3,39,33,N/A
1,171,1,4,2,2,-3,3,-1,0,-1,3,31,32,N/A,-1,5,37,59,N/A
2,95,2,3,2,3,4,-1,-1,0,-1,5,27,31,N/A,28,10,25,16,N/A
2,119,2,4,2,2,-3,2,-1,0,-1,13,48,46,N/A,31,11,40,21,N/A
1,136,1,3,0,0,3,-1,-1,2,18,33,56,32,N/A,-1,9,32,30,N/A
2,84,1,3,2,6,3,-1,-1,0,11,2,34,11,N/A,-1,0,11,22,N/A
2,140,1,4,3,-3,0,2,-1,1,-1,11,41,11,N/A,23,34,58,26,N/A
1,242,2,5,0,0,3,0,2,3,-1,56,108,43,N/A,-1,32,88,36,N/A
2,136,1,4,5,3,0,2,-1,1,27,17,53,20,N/A,-1,14,42,24,N/A
1,168,2,5,2,-5,0,4,3,1,-1,11,34,42,N/A,-1,2,45,48,N/A
2,103,1,3,3,2,2,-1,-1,0,-1,11,42,8,N/A,-1,13,28,12,N/A
2,111,2,3,2,0,4,-1,-1,1,-1,9,37,24,N/A,-1,10,34,18,N/A
2,117,1,3,5,2,3,-1,-1,0,-1,9,44,22,N/A,13,2,21,21,N/A
2,150,2,4,0,3,-2,4,-1,1,26,9,53,63,N/A,-1,1,35,18,N/A
1,124,1,4,2,-2,2,5,-1,0,32,15,35,28,N/A,-1,12,36,34,N/A
2,174,1,5,-3,3,3,-4,3,0,-1,8,45,44,N/A,25,20,64,44,N/A
2,122,2,3,5,0,3,-1,-1,1,-1,7,31,32,N/A,-1,17,34,15,N/A
2,163,1,4,-3,3,0,3,-1,1,-1,9,23,25,9.9,4,15,47,48,9.6
3,86,1,3,2,4,4,-1,-1,0,3,11,29,15,9.4,-1,0,19,23,9.1
2,125,1,5,0,5,-4,2,2,1,15,27,55,16,5.7,-1,22,78,30,6.9
2,83,2,3,2,5,4,-1,-1,0,-1,3,13,12,7.4,10,13,43,16,7.4
2,82,2,3,5,2,3,-1,-1,0,-1,1,14,23,9.2,12,8,32,12,9.5
2,136,1,3,0,0,0,-1,-1,3,18,43,61,18,6.2,-1,16,43,28,5.5
2,187,2,5,-3,0,3,3,3,1,-1,7,50,52,N/A,22,21,61,43,N/A
2,87,1,3,2,3,3,-1,-1,0,32,10,34,25,N/A,-1,2,18,20,N/A
3,130,2,3,3,2,4,-1,-1,0,-1,1,18,21,13.5,2,8,32,34,13.1
3,135,2,3,0,2,0,-1,-1,2,27,9,26,17,7.2,6,27,60,12,7.3
