round,aces,winners,errors,distance
1st Round,0.6765873015873016,0.8289817232375979,1.0,0.7864253393665159
2nd Round,0.6707629288274449,0.8008085572306914,0.8510022898003455,0.8286576168929111
3rd Round,0.7222222222222222,0.856396866840731,0.8438356164383561,0.885908209437621
4th Round,0.9894179894179894,0.9660574412532638,0.797011207970112,0.8355957767722473
Quarterfinal,1.0,1.0,0.92453300124533,0.8303167420814478,1.0
Semifinal,0.8095238095238095,0.9190600522193212,0.7412204234122043,0.8891402714932125
Final,0.47619047619047616,0.814621409921671,0.6535491905354919,1.0
