round,aces,errors,distance
1st Round,21.3125,62.734375,17.380000000000003
2nd Round,21.129032258064516,53.38709677419355,18.313333333333336
3rd Round,22.75,52.9375,19.578571428571426
4th Round,31.166666666666668,50.0,18.466666666666665
Quarterfinal,31.5,58.0,18.349999999999998
Semifinal,25.5,46.5,19.65
Final,15.0,41.0,22.1
